"id","job_id","display_name","cron_expression","time_zone_id","enabled","sort_order","created_at","updated_at","job_type_name","job_method_name","manual_run_json"
78,tiktok-token-validation-job,TikTok Token Validation,"0 23 * * *",UTC,true,123,2026-05-12 13:58:27.325 +0700,2026-05-12 13:58:27.325 +0700,"MediationPro.Jobs.TikTokTokenValidationJob, MediationPro.Jobs",ValidateAllAsync,""
79,tiktok-structure-sync-job,TikTok Structure Sync,"40 17 * * *",UTC,true,124,2026-05-12 13:58:27.325 +0700,2026-05-12 13:58:27.325 +0700,"MediationPro.Jobs.TikTokStructureSyncJob, MediationPro.Jobs",SyncAllOrganizationsAsync,""
80,tiktok-app-mapping-discovery-job,TikTok App Mapping Discovery,"10 * * * *",UTC,true,130,2026-05-12 13:58:27.325 +0700,2026-05-12 13:58:27.325 +0700,"MediationPro.Jobs.TikTokAppMappingDiscoveryJob, MediationPro.Jobs",DiscoverAllOrganizationsAsync,""
81,tiktok-report-sync-daily-job,TikTok Report Sync Daily,"45 19 * * *",UTC,true,125,2026-05-12 13:58:27.325 +0700,2026-05-12 13:58:27.325 +0700,"MediationPro.Jobs.TikTokReportSyncJob, MediationPro.Jobs",SyncDailyAsync,""
82,tiktok-report-sync-recent-job,TikTok Report Sync Recent,"0 */2 * * *",UTC,true,126,2026-05-12 13:58:27.325 +0700,2026-05-12 13:58:27.325 +0700,"MediationPro.Jobs.TikTokReportSyncJob, MediationPro.Jobs",SyncRecentAsync,""
83,tiktok-bc-sync-job,TikTok Business Center Sync,"50 17 * * *",UTC,true,127,2026-05-12 13:58:27.325 +0700,2026-05-12 13:58:27.325 +0700,"MediationPro.Jobs.TikTokBCSyncJob, MediationPro.Jobs",SyncBusinessCentersAsync,""
84,tiktok-balance-sync-job,TikTok Balance Sync,"0 */4 * * *",UTC,true,128,2026-05-12 13:58:27.325 +0700,2026-05-12 13:58:27.325 +0700,"MediationPro.Jobs.TikTokBCSyncJob, MediationPro.Jobs",SyncBalancesAsync,""
85,tiktok-alert-evaluation-job,TikTok Alert Evaluation,"30 */4 * * *",UTC,true,129,2026-05-12 13:58:27.325 +0700,2026-05-12 13:58:27.325 +0700,"MediationPro.Jobs.TikTokAlertEvaluationJob, MediationPro.Jobs",EvaluateAsync,""
49,appmetrica-datastream-events-last3days,AppMetrica DataStream Events (Last 3 Days),"0 1/4 * * *",UTC,true,110,2026-03-27 17:46:44.582 +0700,2026-05-18 13:42:45.396 +0700,"MediationPro.Jobs.AppMetricaSyncJob, MediationPro.Jobs",SyncEventDataStreamLast3DaysAsync,""
34,xmp-sync-job-last7days,"XMP Sync Last7 (3h, 1 day/tick)","0 */3 * * *",UTC,true,96,2026-02-15 17:00:00.000 +0700,2026-05-16 08:50:48.678 +0700,"MediationPro.Jobs.XmpSyncJob, MediationPro.Jobs",SyncLast7DaysAsync,"{""queryParams"": [{""key"": ""force"", ""inputType"": ""boolean"", ""isRequired"": false}], ""useAsyncRun"": false}"
